id,theme,sub,file,source_url,source_page,licence,fichier,statut
7-3-052,animaux,monde,7-3-052_baleine-bleue.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/1280px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Baleine bleue,,images/cartes-500/7-3-052.webp,ok
7-3-056,animaux,monde,7-3-056_poisson-clown.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Anemone_purple_anemonefish.jpg/1280px-Anemone_purple_anemonefish.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Poisson-clown,,images/cartes-500/7-3-056.webp,ok
7-3-059,animaux,monde,7-3-059_hippocampe.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Hippocampus_barbouri_01.JPG/1280px-Hippocampus_barbouri_01.JPG?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Hippocampe (poisson),,images/cartes-500/7-3-059.webp,ok
7-3-060,animaux,monde,7-3-060_requin-marteau.md,https://upload.wikimedia.org/wikipedia/commons/5/53/Sphyrnalewini.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Sphyrnidae,,images/cartes-500/7-3-060.webp,ok
7-3-070,animaux,monde,7-3-070_diable-de-tasmanie.md,https://upload.wikimedia.org/wikipedia/commons/a/ac/Tasmanian_devil_cropped.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Diable de Tasmanie,,images/cartes-500/7-3-070.webp,ok
7-3-072,animaux,monde,7-3-072_ornithorynque.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/Ornithorhynchus.jpg/1280px-Ornithorhynchus.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Ornithorynque,,images/cartes-500/7-3-072.webp,ok
7-3-074,animaux,monde,7-3-074_suricate.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Suricata_suricatta18082009b.jpg/1280px-Suricata_suricatta18082009b.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Suricate,,images/cartes-500/7-3-074.webp,ok
7-3-075,animaux,monde,7-3-075_fennec.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9f/Fennec_Fox_Vulpes_zerda.jpg/1280px-Fennec_Fox_Vulpes_zerda.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Fennec,,images/cartes-500/7-3-075.webp,ok
7-3-076,animaux,monde,7-3-076_dromadaire.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/Camels_near_Lake_Natron_%287%29_%2828507868971%29.jpg/1280px-Camels_near_Lake_Natron_%287%29_%2828507868971%29.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Dromadaire,,images/cartes-500/7-3-076.webp,ok
7-1-001,animaux,suisse,7-1-001_cerf-elaphe.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Cervus_elaphus_Luc_Viatour_6.jpg/1280px-Cervus_elaphus_Luc_Viatour_6.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Cerf élaphe,,images/cartes-500/7-1-001.webp,ok
7-1-002,animaux,suisse,7-1-002_chevreuil.md,https://upload.wikimedia.org/wikipedia/commons/4/42/The_deer_of_all_lands_%281898%29_European_roe_deer_%28summer_%26_winter_pelage%29.png?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Chevreuil,,images/cartes-500/7-1-002.webp,ok
7-1-003,animaux,suisse,7-1-003_chamois.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/064_Wild_Chamois_Parc_r%C3%A9gional_Chasseral_Photo_by_Giles_Laurent.jpg/1280px-064_Wild_Chamois_Parc_r%C3%A9gional_Chasseral_Photo_by_Giles_Laurent.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Chamois,,images/cartes-500/7-1-003.webp,ok
7-1-004,animaux,suisse,7-1-004_bouquetin-des-alpes.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/003_Wild_Alpine_Ibex_Sunset_Creux_du_Van_Mont_Racine_Photo_by_Giles_Laurent.jpg/1280px-003_Wild_Alpine_Ibex_Sunset_Creux_du_Van_Mont_Racine_Photo_by_Giles_Laurent.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Bouquetin des Alpes,,images/cartes-500/7-1-004.webp,ok
7-1-005,animaux,suisse,7-1-005_marmotte-alpine.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9d/071_Wild_marmot_at_Grand_Muveran_Nature_Reserve_Photo_by_Giles_Laurent.jpg/1280px-071_Wild_marmot_at_Grand_Muveran_Nature_Reserve_Photo_by_Giles_Laurent.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Marmota marmota,,images/cartes-500/7-1-005.webp,ok
7-1-006,animaux,suisse,7-1-006_renard-roux.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/Portrait_of_a_red_fox_in_Rautas_fj%C3%A4llurskog.jpg/1280px-Portrait_of_a_red_fox_in_Rautas_fj%C3%A4llurskog.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Renard roux,,images/cartes-500/7-1-006.webp,ok
7-1-007,animaux,suisse,7-1-007_blaireau.md,https://upload.wikimedia.org/wikipedia/commons/c/c6/Le_Blaireau_-_Badger_-_Gallica_-_ark_12148-btv1b2300254t-f9.png?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Blaireau,,images/cartes-500/7-1-007.webp,ok
7-1-010,animaux,suisse,7-1-010_loutre-d-europe.md,https://upload.wikimedia.org/wikipedia/commons/c/c3/Loutre_des_pyrenees_baronnies_2004.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Lutra lutra,,images/cartes-500/7-1-010.webp,ok
7-1-011,animaux,suisse,7-1-011_castor-d-europe.md,https://upload.wikimedia.org/wikipedia/commons/c/cc/Beaver_pho34.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Castor d'Europe,,images/cartes-500/7-1-011.webp,ok
7-1-012,animaux,suisse,7-1-012_sanglier.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Eberswalde_Zoo_12-2017_img2.jpg/1280px-Eberswalde_Zoo_12-2017_img2.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Sanglier,,images/cartes-500/7-1-012.webp,ok
